Iteration,Qc, Qd, Qc, Qd
1,1.0,1.0,1.0,1.0
2,1.0,1.1,1.2,1.0
3,1.0,1.1949999999999998,1.39,1.0
4,1.0,1.28525,1.5704999999999998,1.0
5,1.0,1.2709875,1.5704999999999998,1.0
6,1.0,1.3574381249999998,1.7419749999999998,1.0
7,1.0,1.43956621875,1.9048762499999998,1.0
8,1.0,1.5175879078125,2.0596324374999995,1.0
9,1.0,1.5917085124218748,2.2066508156249993,1.0
10,1.0,1.662123086800781,2.346318274843749,1.0
11,1.0,1.729016932460742,2.4790023611015615,1.0
12,1.0,1.7925660858377048,2.605052243046483,1.0
13,1.0,1.8529377815458195,2.7247996308941587,1.0
14,1.0,1.9102908924685282,2.8385596493494507,1.0
15,1.0,1.9102908924685282,2.746631666881978,1.0
16,1.0,1.9647763478451017,2.859300083537879,1.0
17,1.0,2.0165375304528466,2.966335079360985,1.0
18,1.0,2.0657106539302044,3.0680183253929356,1.0
19,1.0,2.112425121233694,3.164617409123289,1.0
20,1.0,2.156803865172009,3.2563865386671242,1.0
21,1.0,2.1989636719134085,3.343567211733768,1.0
22,1.0,2.239015488317738,3.4263888511470797,1.0
23,1.0,2.1770647139018506,3.4263888511470797,1.0
24,1.0,2.218211478206758,3.5050694085897254,1.0
25,1.0,2.25730090429642,3.579815938160239,1.0
26,1.0,2.2944358590815987,3.6508251412522266,1.0
27,1.0,2.2944358590815987,3.5182838841896147,1.0
28,1.0,2.3297140661275186,3.5923696899801336,1.0
29,1.0,2.3632283628211423,3.662751205481127,1.0
30,1.0,2.395066944680085,3.7296136452070705,1.0
31,1.0,2.4253135974460807,3.793132962946717,1.0
32,1.0,2.4540479175737766,3.853476314799381,1.0
33,1.0,2.4813455216950877,3.910802499059412,1.0
34,1.0,2.5072782456103333,3.965262374106441,1.0
35,1.0,2.5072782456103333,3.8169992554011185,1.0
36,1.0,2.5072782456103333,3.676149292631062,1.0
37,1.0,2.5319143333298166,3.742341827999509,1.0
38,1.0,2.5553186166633255,3.8052247365995333,1.0
39,1.0,2.577552685830159,3.8649634997695563,1.0
40,1.0,2.598675051538651,3.9217153247810783,1.0
41,1.0,2.6187412989617185,3.9756295585420243,1.0
42,1.0,2.6378042340136325,4.026848080614923,1.0
43,1.0,2.6559140223129507,4.075505676584177,1.0
44,1.0,2.673118321197303,4.1217303927549676,1.0
45,1.0,2.6894624051374376,4.165643873117219,1.0
46,1.0,2.7049892848805657,4.207361679461357,1.0
47,1.0,2.719739820636537,4.24699359548829,1.0
48,1.0,2.73375282960471,4.2846439157138745,1.0
49,1.0,2.7470651881244743,4.32041171992818,1.0
50,1.0,2.6597119287182505,4.32041171992818,1.0
51,1.0,2.6767263322823376,4.354391133931771,1.0
52,1.0,2.6928900156682203,4.386671577235182,1.0
53,1.0,2.7082455148848092,4.417337998373423,1.0
54,1.0,2.7228332391405687,4.446471098454752,1.0
55,1.0,2.73669157718354,4.474147543532014,1.0
56,1.0,2.749856998324363,4.500440166355413,1.0
57,1.0,2.7623641484081447,4.525418158037643,1.0
58,1.0,2.7623641484081447,4.34914725013576,1.0
59,1.0,2.774245940987737,4.381689887628972,1.0
60,1.0,2.7855336439383502,4.412605393247523,1.0
61,1.0,2.7962569617414323,4.441975123585146,1.0
62,1.0,2.8064441136543605,4.469876367405888,1.0
63,1.0,2.716121907971642,4.469876367405888,1.0
