Iteration,Qc, Qd, Qc, Qd
1,1.0,1.2,1.2,1.0
2,1.0,1.39,1.39,1.0
3,1.0,1.39,1.3704999999999998,1.0
4,1.0,1.5704999999999998,1.5519749999999999,1.0
5,1.0,1.7419749999999998,1.7243762499999997,1.0
6,1.0,1.9048762499999998,1.8881574374999996,1.0
7,1.0,2.0596324374999995,2.0437495656249993,1.0
8,1.0,2.2066508156249993,2.1915620873437494,1.0
9,1.0,2.346318274843749,2.3319839829765616,1.0
10,1.0,2.4790023611015615,2.4653847838277336,1.0
11,1.0,2.605052243046483,2.592115544636347,1.0
12,1.0,2.7247996308941587,2.7125097674045295,1.0
13,1.0,2.8385596493494507,2.826884279034303,1.0
14,1.0,2.946631666881978,2.935540065082588,1.0
15,1.0,2.946631666881978,2.838763061828458,1.0
16,1.0,3.049300083537879,2.946824908737035,1.0
17,1.0,3.1468350793609847,3.049483663300183,1.0
18,1.0,3.239493325392935,3.147009480135174,1.0
19,1.0,3.3275186591232884,3.239659006128415,1.0
20,1.0,3.4111427261671237,3.3276760558219944,1.0
21,1.0,3.4905855898587674,3.4112922530308945,1.0
22,1.0,3.5660563103658287,3.4907276403793497,1.0
23,1.0,3.637753494847537,3.566191258360382,1.0
24,1.0,3.70586582010516,3.6378816954423625,1.0
25,1.0,3.7705725290999017,3.705987610670244,1.0
26,1.0,3.8320439026449065,3.7706882301367317,1.0
27,1.0,3.890441707512661,3.832153818629895,1.0
28,1.0,3.9459196221370276,3.8905461276984,1.0
29,1.0,3.998623641030176,3.94601882131348,1.0
30,1.0,4.0486924589786675,3.998717880247806,1.0
31,1.0,4.096257836029734,4.048781986235415,1.0
32,1.0,4.1414449442282475,4.096342886923644,1.0
33,1.0,4.184372697016835,4.141525742577461,1.0
34,1.0,4.225154062165993,4.184449455448588,1.0
35,1.0,4.263896359057693,4.225226982676158,1.0
36,1.0,4.300701541104808,4.26396563354235,1.0
37,1.0,4.3356664640495675,4.3007673518652325,1.0
38,1.0,4.368883140847089,4.335728984271971,1.0
39,1.0,4.400438983804734,4.368942535058372,1.0
40,1.0,4.400438983804734,4.2004954083054535,1.0
41,1.0,4.430417034614497,4.240470637890181,1.0
42,1.2,4.430417034614497,4.240470637890181,1.2
43,1.2,4.458896182883772,4.278447105995672,1.2
44,1.2,4.485951373739583,4.314524750695888,1.2
45,1.2,4.511653805052604,4.348798513161094,1.2
46,1.2,4.536071114799974,4.381358587503039,1.2
