Iteration,Qc, Qd, Qc, Qd
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,1.1,1.0,1.0,1.1
12,1.1949999999999998,1.0,1.0,1.1949999999999998
13,1.28525,1.0,1.0,1.28525
14,1.3709875,1.0,1.0,1.3709875
15,1.452438125,1.0,1.0,1.452438125
16,1.5298162187500002,1.0,1.0,1.5298162187500002
17,1.6033254078125,1.0,1.0,1.6033254078125
18,1.6731591374218748,1.0,1.0,1.6731591374218748
19,1.7395011805507812,1.0,1.0,1.7395011805507812
20,1.802526121523242,1.0,1.0,1.802526121523242
21,1.86239981544708,1.0,1.0,1.86239981544708
22,1.9192798246747258,1.0,1.0,1.9192798246747258
23,1.9733158334409895,1.0,1.0,1.9733158334409895
24,2.02465004176894,1.0,1.0,2.02465004176894
25,2.0734175396804932,1.0,1.0,2.0734175396804932
26,2.1197466626964685,1.0,1.0,2.1197466626964685
27,2.163759329561645,1.0,1.0,2.163759329561645
28,2.2055713630835623,1.0,1.0,2.2055713630835623
29,2.245292794929384,1.0,1.0,2.245292794929384
30,2.283028155182915,1.0,1.0,2.283028155182915
31,2.318876747423769,1.0,1.0,2.318876747423769
32,2.3529329100525804,1.0,1.0,2.3529329100525804
33,2.385286264549951,1.0,1.0,2.385286264549951
34,2.4160219513224535,1.0,1.0,2.4160219513224535
35,2.4452208537563305,1.0,1.0,2.4452208537563305
36,2.4729598110685136,1.0,1.0,2.4729598110685136
37,2.499311820515088,1.0,1.0,2.499311820515088
38,2.5243462294893333,1.0,1.0,2.5243462294893333
39,2.5481289180148665,1.0,1.0,2.5481289180148665
40,2.4707224721141228,1.0,1.0,2.5481289180148665
41,2.4971863485084165,1.0,1.0,2.570722472114123
42,2.5223270310829955,1.0,1.0,2.5921863485084167
43,2.5462106795288455,1.0,1.0,2.6125770310829957
44,2.568900145552403,1.0,1.0,2.6319481795288455
45,2.5904551382747827,1.0,1.0,2.650350770552403
46,2.610932381361043,1.0,1.0,2.667833232024783
47,2.630385762292991,1.0,1.0,2.6844415704235436
48,2.648866474178341,1.0,1.0,2.700219491902366
49,2.6664231504694236,1.0,1.0,2.7152085173072478
50,2.6831019929459523,1.0,1.0,2.7294480914418853
51,2.6989468932986544,1.0,1.0,2.7429756868697908
52,2.7139995486337214,1.0,1.0,2.755826902526301
53,2.7282995712020353,1.0,1.0,2.768035557399986
54,2.741884592641933,1.0,1.0,2.7796337795299864
55,2.7547903630098363,1.0,1.0,2.7906520905534866
56,2.767050844859344,1.0,1.0,2.801119486025812
57,2.6786983026163766,1.0,1.0,2.801119486025812
58,2.6947633874855574,1.0,1.0,2.8110635117245213
59,2.710025218111279,1.0,1.0,2.820510336138295
60,2.724523957205715,1.0,1.0,2.82948481933138
61,2.7382977593454294,1.0,1.0,2.838010578364811
62,2.7513828713781576,1.0,1.0,2.8461100494465703
63,2.7638137278092496,1.0,1.0,2.8538045469742417
64,2.775623041418787,1.0,1.0,2.8611143196255293
65,2.7868418893478473,1.0,1.0,2.868058603644253
66,2.7974997948804545,1.0,1.0,2.87465567346204
67,2.7076248051364313,1.0,1.0,2.87465567346204
68,2.7222435648796095,1.0,1.0,2.880922889788938
69,2.7361313866356287,1.0,1.0,2.886876745299491
70,2.649324817303847,1.0,1.0,2.886876745299491
71,2.666858576438654,1.0,1.0,2.892532908034516
72,2.683515647616721,1.0,1.0,2.89790626263279
73,2.699339865235885,1.0,1.0,2.9030109495011502
74,2.7143728719740903,1.0,1.0,2.9078604020260923
75,2.7286542283753854,1.0,1.0,2.9124673819247873
76,2.742221516956616,1.0,1.0,2.9168440128285478
77,2.755110441108785,1.0,1.0,2.92100181218712
78,2.6673549190533454,1.0,1.0,2.92100181218712
79,2.683987173100678,1.0,1.0,2.924951721577764
80,2.699787814445644,1.0,1.0,2.9287041354988754
81,2.7147984237233618,1.0,1.0,2.9322689287239316
82,2.6290585025371933,1.0,1.0,2.9322689287239316
83,2.6476055774103333,1.0,1.0,2.9356554822877348
84,2.5652252985398163,1.0,1.0,2.9356554822877348
85,2.5869640336128255,1.0,1.0,2.938872708173348
86,2.607615831932184,1.0,1.0,2.94192907276468
87,2.6272350403355746,1.0,1.0,2.944832619126446
88,2.645873288318796,1.0,1.0,2.9475909881701234
89,2.663579623902856,1.0,1.0,2.950211438761617
90,2.680400642707713,1.0,1.0,2.952700866823536
91,2.696380610572327,1.0,1.0,2.955065823482359
92,2.7115615800437105,1.0,1.0,2.957312532308241
93,2.725983501041525,1.0,1.0,2.9594469056928285
94,2.7396843259894483,1.0,1.0,2.961474560408187
95,2.7527001096899757,1.0,1.0,2.9634008323877774
96,2.7650651042054766,1.0,1.0,2.965230790768388
97,2.7768118489952025,1.0,1.0,2.9669692512299686
98,2.787971256545442,1.0,1.0,2.96862078866847
99,2.787971256545442,1.0,1.0,2.8701897492350463
100,2.787971256545442,1.0,1.0,2.7766802617732935
101,2.787971256545442,1.0,1.0,2.6878462486846284
102,2.7985726937181696,1.0,1.0,2.703453936250397
103,2.708644059032261,1.0,1.0,2.703453936250397
104,2.7232118560806478,1.0,1.0,2.718281239437877
105,2.7370512632766153,1.0,1.0,2.732367177465983
106,2.7501987001127843,1.0,1.0,2.7457488185926833
107,2.762688765107145,1.0,1.0,2.758461377663049
108,2.7745543268517876,1.0,1.0,2.770538308779896
109,2.785826610509198,1.0,1.0,2.782011393340901
110,2.796535279983738,1.0,1.0,2.792910823673856
111,2.806708515984551,1.0,1.0,2.803265282490163
112,2.8163730901853232,1.0,1.0,2.8131020183656545
113,2.825554435676057,1.0,1.0,2.8224469174473716
114,2.8342767138922538,1.0,1.0,2.831324571575003
115,2.842562878197641,1.0,1.0,2.8397583429962525
116,2.8504347342877585,1.0,1.0,2.8477704258464396
117,2.8579129975733704,1.0,1.0,2.8553819045541173
118,2.865017347694702,1.0,1.0,2.862612809326411
119,2.8717664803099665,1.0,1.0,2.8694821688600904
120,2.878178156294468,1.0,1.0,2.8760080604170857
121,2.8842692484797445,1.0,1.0,2.882207657396231
122,2.890055786055757,1.0,1.0,2.888097274526419
123,2.895552996752969,1.0,1.0,2.893692410800098
124,2.9007753469153204,1.0,1.0,2.899007790260093
125,2.805736579569554,1.0,1.0,2.899007790260093
126,2.815449750591076,1.0,1.0,2.9040574007470883
127,2.8246772630615222,1.0,1.0,2.9088545307097338
128,2.833443399908446,1.0,1.0,2.9134118041742467
129,2.8417712299130233,1.0,1.0,2.917741213965534
130,2.849682668417372,1.0,1.0,2.9218541532672573
131,2.8571985349965034,1.0,1.0,2.9257614456038943
132,2.864338608246678,1.0,1.0,2.9294733733236993
133,2.871121677834344,1.0,1.0,2.9329997046575143
134,2.8775655939426263,1.0,1.0,2.9363497194246384
135,2.8836873142454946,1.0,1.0,2.939532233453406
136,2.8895029485332198,1.0,1.0,2.942555621780736
137,2.8950278011065587,1.0,1.0,2.945427840691699
138,2.9002764110512307,1.0,1.0,2.9481564486571137
139,2.905262590498669,1.0,1.0,2.9507486262242577
140,2.9099994609737356,1.0,1.0,2.9532111949130444
141,2.9144994879250485,1.0,1.0,2.955550635167392
142,2.9144994879250485,1.0,1.0,2.857773103409022
143,2.918774513528796,1.0,1.0,2.8648844482385707
144,2.922835787852356,1.0,1.0,2.871640225826642
145,2.9266939984597378,1.0,1.0,2.8780582145353097
146,2.9303592985367506,1.0,1.0,2.884155303808544
147,2.9338413336099127,1.0,1.0,2.8899475386181166
148,2.937149266929417,1.0,1.0,2.8954501616872106
149,2.937149266929417,1.0,1.0,2.80067765360285
150,2.940291803582946,1.0,1.0,2.8106437709227072
151,2.9432772134037988,1.0,1.0,2.8201115823765717
152,2.9461133527336085,1.0,1.0,2.829106003257743
153,2.948807685096928,1.0,1.0,2.8376507030948557
154,2.9513673008420813,1.0,1.0,2.8457681679401126
155,2.953798935799977,1.0,1.0,2.8534797595431067
156,2.956108989009978,1.0,1.0,2.860805771565951
157,2.958303539559479,1.0,1.0,2.8677654829876533
158,2.960388362581505,1.0,1.0,2.8743772088382706
159,2.9623689444524293,1.0,1.0,2.880658348396357
160,2.9642504972298074,1.0,1.0,2.886625430976539
161,2.966037972368317,1.0,1.0,2.8922941594277116
162,2.967736073749901,1.0,1.0,2.8976794514563258
163,2.9693492700624056,1.0,1.0,2.902795478883509
164,2.970881806559285,1.0,1.0,2.9076557049393332
165,2.9723377162313205,1.0,1.0,2.9122729196923665
166,2.9737208304197544,1.0,1.0,2.916659273707748
167,2.9750347888987667,1.0,1.0,2.9208263100223606
168,2.976283049453828,1.0,1.0,2.9247849945212425
169,2.9774688969811365,1.0,1.0,2.9285457447951804
170,2.9785954521320797,1.0,1.0,2.932118457555421
171,2.9796656795254757,1.0,1.0,2.93551253467765
172,2.9806823955492017,1.0,1.0,2.9387369079437673
173,2.9816482757717413,1.0,1.0,2.9418000625465788
174,2.982565861983154,1.0,1.0,2.9447100594192497
175,2.983437568883996,1.0,1.0,2.947474556448287
176,2.9842656904397957,1.0,1.0,2.9501008286258728
177,2.9850524059178056,1.0,1.0,2.952595787194579
178,2.985799785621915,1.0,1.0,2.95496599783485
179,2.9865097963408194,1.0,1.0,2.9572176979431073
180,2.987184306523778,1.0,1.0,2.9593568130459516
181,2.987825091197589,1.0,1.0,2.961388972393654
182,2.987825091197589,1.2,1.2,2.961388972393654
183,2.9884338366377095,1.2,1.2,2.963319523773971
184,2.9890121448058236,1.2,1.2,2.965153547585272
185,2.9895615375655322,1.2,1.2,2.966895870206008
186,2.9900834606872553,1.2,1.2,2.9685510766957077
187,2.9905792876528925,1.2,1.2,2.970123522860922
188,2.9910503232702474,1.2,1.2,2.971617346717876
189,2.991497807106735,1.2,1.2,2.973036479381982
190,2.991922916751398,1.2,1.2,2.9743846554128828
191,2.992326770913828,1.2,1.2,2.9756654226422383
192,2.9927104323681366,1.2,1.2,2.976882151510126
193,2.9930749107497294,1.2,1.2,2.9780380439346197
194,2.9934211652122427,1.2,1.2,2.9791361417378885
195,2.99375010695163,1.2,1.2,2.9801793346509937
196,2.9940626016040484,1.2,1.2,2.981170367918444
197,2.9943594715238455,1.2,1.2,2.9821118495225214
198,2.994641497947653,1.2,1.2,2.9830062570463953
199,2.99490942305027,1.2,1.2,2.9838559441940755
200,2.9951639518977564,1.2,1.2,2.9846631469843716
201,2.9954057543028685,1.2,1.2,2.985429989635153
202,2.995635466587725,1.2,1.2,2.986158490153395
203,2.9958536932583386,1.2,1.2,2.986850565645725
204,2.9960610085954213,1.2,1.2,2.9875080373634386
205,2.99625795816565,1.2,1.2,2.9881326354952664
206,2.996445060257367,1.2,1.2,2.988726003720503
207,2.9966228072444987,1.2,1.2,2.9892897035344776
208,2.9967916668822734,1.2,1.2,2.9898252183577534
209,2.9969520835381593,1.2,1.2,2.9903339574398653
210,2.8971044793612513,1.2,1.19,2.9903339574398653
211,2.9022492553931887,1.2,1.19,2.990817259567872
212,2.907136792623529,1.2,1.19,2.991276396589478
213,2.9117799529923523,1.2,1.19,2.991712576760004
214,2.9161909553427345,1.2,1.19,2.9921269479220034
215,2.9161909553427345,1.19,1.19,2.892520600525903
216,2.9203814075755976,1.19,1.19,2.8978945704996075
217,2.9243623371968175,1.19,1.19,2.902999841974627
218,2.9281442203369763,1.19,1.19,2.907849849875895
219,2.9317370093201274,1.19,1.19,2.9124573573821
220,2.9351501588541207,1.19,1.19,2.916834489512995
221,2.9383926509114144,1.19,1.19,2.920992765037345
222,2.9414730183658433,1.19,1.19,2.9249431267854775
223,2.944399367447551,1.19,1.19,2.9286959704462032
224,2.947179399075173,1.19,1.19,2.932261171923893
225,2.9498204291214143,1.19,1.19,2.935648113327698
226,2.9523294076653435,1.19,1.19,2.938865707661313
227,2.954712937282076,1.19,1.19,2.941922422278247
228,2.956977290417972,1.19,1.19,2.9448263011643343
229,2.9591284258970734,1.19,1.19,2.947584986106117
230,2.9611720046022194,1.19,1.19,2.950205736800811
231,2.963113404372108,1.19,1.19,2.9526954499607703
