Iteration,Qc, Qd, Qc, Qd
1,1.0,1.0,1.05,1.0
2,1.0,1.0,1.0975,1.0
3,1.0,1.0,1.142625,1.0
4,1.0,1.0,1.18549375,1.0
5,1.0,1.0,1.2262190625,1.0
6,1.0,1.0,1.264908109375,1.0
7,1.0,1.0,1.30166270390625,1.0
8,1.0,1.0,1.3365795687109376,1.0
9,1.0,1.0,1.3697505902753908,1.0
10,1.0,1.0,1.4012630607616212,1.0
11,1.0,1.0,1.4311999077235402,1.0
12,1.0,1.0,1.4596399123373633,1.0
13,1.0,1.0,1.4866579167204952,1.0
14,1.0,1.0,1.5123250208844705,1.0
15,1.0,1.0,1.536708769840247,1.0
16,1.0,1.0,1.5598733313482347,1.0
17,1.0,1.0,1.5818796647808229,1.0
18,1.2,1.0,1.5818796647808229,0.95
19,1.19,1.0,1.6027856815417818,0.95
20,1.1804999999999999,1.0,1.6226463974646927,0.95
21,1.1714749999999998,1.0,1.641514077591458,0.95
22,1.1629012499999998,1.0,1.6594383737118852,0.95
23,1.1547561874999999,1.0,1.6764664550262909,0.95
24,1.1470183781249998,1.0,1.6926431322749764,0.95
25,1.13966745921875,1.0,1.7080109756612276,0.95
26,1.1326840862578125,1.0,1.7226104268781663,0.95
27,1.1260498819449218,1.0,1.7364799055342581,0.95
28,1.1197473878476758,1.0,1.7496559102575453,0.95
29,1.113760018455292,1.0,1.762173114744668,0.95
30,1.1080720175325274,1.0,1.7740644590074346,0.95
31,1.102668416655901,1.0,1.7853612360570628,0.95
32,1.097534995823106,1.0,1.7960931742542097,0.95
33,1.0926582460319507,1.0,1.8062885155414992,0.95
34,1.0880253337303532,1.0,1.8159740897644243,0.95
35,1.0836240670438355,1.0,1.8251753852762032,0.95
36,1.0794428636916438,1.0,1.833916616012393,0.95
37,1.0754707205070615,1.0,1.8422207852117733,0.95
38,1.0716971844817085,1.0,1.8501097459511846,0.95
39,1.068112325257623,1.0,1.8576042586536254,0.95
40,1.064706708994742,1.0,1.8647240457209442,0.95
41,1.0614713735450048,1.0,1.871487843434897,0.95
42,1.0583978048677545,1.0,1.8779134512631521,0.95
43,1.2554779146243666,1.0,1.8779134512631521,0.9025
44,1.2427040188931482,1.0,1.8840177786999945,0.9025
45,1.2305688179484908,1.0,1.8898168897649947,0.9025
46,1.4190403770510662,1.0,1.8898168897649947,0.8573749999999999
47,1.3980883581985128,1.0,1.895326045276745,0.8573749999999999
48,1.3781839402885872,1.0,1.9005597430129078,0.8573749999999999
49,1.3592747432741579,1.0,1.9055317558622624,0.8573749999999999
50,1.34131100611045,1.0,1.9102551680691493,0.8573749999999999
51,1.3242454558049275,1.0,1.9147424096656918,0.8573749999999999
52,1.3080331830146812,1.0,1.9190052891824072,0.8573749999999999
53,1.2926315238639472,1.0,1.923055024723287,0.8573749999999999
54,1.2926315238639472,0.95,2.0769022734871223,0.8573749999999999
55,1.2779999476707498,0.95,2.073057159812766,0.8573749999999999
56,1.2640999502872123,0.95,2.0694043018221278,0.8573749999999999
57,1.2508949527728517,0.95,2.0659340867310214,0.8573749999999999
58,1.238350205134209,0.95,2.0626373823944704,0.8573749999999999
59,1.2264326948774986,0.95,2.059505513274747,0.8573749999999999
60,1.2151110601336237,0.95,2.0565302376110095,0.8573749999999999
61,1.2043555071269425,0.95,2.053703725730459,0.8573749999999999
62,1.1941377317705955,0.95,2.0510185394439358,0.8573749999999999
63,1.1844308451820658,0.95,2.0484676124717387,0.8573749999999999
64,1.1752093029229624,0.95,2.0460442318481515,0.8573749999999999
65,1.1664488377768143,0.95,2.0437420202557437,0.8573749999999999
66,1.1581263958879735,0.95,2.0415549192429565,0.8573749999999999
67,1.1502200760935748,0.95,2.0394771732808086,0.8573749999999999
68,1.142709072288896,0.95,2.037503314616768,0.8573749999999999
69,1.1355736186744512,0.95,2.0356281488859294,0.8573749999999999
70,1.1287949377407287,0.95,2.0338467414416326,0.8573749999999999
71,1.1223551908536922,0.95,2.032154404369551,0.8573749999999999
72,1.1162374313110075,0.95,2.0305466841510733,0.8573749999999999
73,1.110425559745457,0.95,2.0290193499435194,0.8573749999999999
74,1.1049042817581842,0.95,2.0275683824463435,0.8573749999999999
75,1.099659067670275,0.95,2.0261899633240263,0.8573749999999999
76,1.0946761142867614,0.95,2.0248804651578247,0.8573749999999999
77,1.0899423085724234,0.95,2.0236364418999333,0.8573749999999999
78,1.0854451931438023,0.95,2.0224546198049365,0.8573749999999999
79,1.0811729334866123,0.95,2.0213318888146894,0.8573749999999999
80,1.0771142868122816,0.95,2.0202652943739547,0.8573749999999999
81,1.0732585724716674,0.95,2.0192520296552567,0.8573749999999999
82,1.069595643848084,0.95,2.0182894281724937,0.8573749999999999
83,1.0661158616556798,0.95,2.017374956763869,0.8573749999999999
84,1.0628100685728958,0.95,2.016506208925675,0.8573749999999999
85,1.259669565144251,0.95,2.016506208925675,0.8145062499999999
86,1.2466860868870386,0.95,2.015680898479391,0.8145062499999999
87,1.2343517825426866,0.95,2.0148968535554213,0.8145062499999999
88,1.2226341934155522,0.95,2.01415201087765,0.8145062499999999
89,1.2115024837447745,0.95,2.0134444103337676,0.8145062499999999
90,1.2009273595575358,0.95,2.012772189817079,0.8145062499999999
91,1.190880991579659,0.95,2.012133580326225,0.8145062499999999
92,1.181336942000676,0.95,2.0115269013099133,0.8145062499999999
93,1.1722700949006422,0.95,2.0109505562444174,0.8145062499999999
94,1.16365659015561,0.95,2.0104030284321963,0.8145062499999999
95,1.1554737606478294,0.95,2.0098828770105865,0.8145062499999999
96,1.1477000726154378,0.95,2.009388733160057,0.8145062499999999
97,1.340315068984666,0.95,2.009388733160057,0.7737809374999999
98,1.3232993155354327,0.95,2.008919296502054,0.7737809374999999
99,1.307134349758661,0.95,2.008473331676951,0.7737809374999999
100,1.291777632270728,0.95,2.0080496650931035,0.7737809374999999
101,1.2771887506571915,0.95,2.0076471818384483,0.7737809374999999
102,1.263329313124332,0.95,2.0072648227465257,0.7737809374999999
